DateTime,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Date,Time
2020-04-06 23:59:00,7330.55,7354.87,7330.55,7352.43,0.49417057,3629.9606102,7345.562100499999,2020-04-06,23:59:00
2020-04-07 23:59:00,7200.29,7202.73,7198.36,7202.73,2.48295602,17883.515913,7202.510140800001,2020-04-07,23:59:00
2020-04-08 23:59:00,7367.36,7367.36,7367.36,7367.36,0.30519,2248.4445984,7367.36,2020-04-08,23:59:00
2020-04-09 23:59:00,7288.6,7297.7,7287.88,7293.93,0.29974155,2187.0582779,7296.480177399999,2020-04-09,23:59:00
2020-04-10 23:59:00,6876.07,6877.03,6876.07,6877.03,0.37727375,2594.5127926,6877.0032175,2020-04-10,23:59:00
2020-04-11 23:59:00,6884.59,6891.98,6882.56,6883.18,3.30848722,22780.004688,6885.3234646,2020-04-11,23:59:00
2020-04-12 23:59:00,6905.15,6908.25,6897.55,6908.24,12.53386085,86534.918341,6904.0911956,2020-04-12,23:59:00
2020-04-13 23:59:00,6857.48,6864.22,6857.48,6864.22,0.63822801,4380.175257100001,6863.0257346,2020-04-13,23:59:00
2020-04-14 23:59:00,6868.62,6879.75,6868.62,6879.75,0.33812601,2325.2474925,6876.866681899999,2020-04-14,23:59:00
2020-04-15 23:59:00,6619.02,6624.84,6619.0,6619.0,0.30492165,2019.6629577999997,6623.5472548,2020-04-15,23:59:00
